代號,簡稱,日期,序號,主旨,Unnamed: 5
2441,超豐,112/02/24,7,本公司董事會決議辦理私募海外或國內公司債(普通公司債 、轉換公司債),
6806,森崴能源,112/02/24,3,公告本公司董事會決議通過發行海外第一次無擔保轉換公司債,
6438,迅得,112/02/24,6,本公司董事會決議發行國內第二次無擔保轉換公司債,
8215,明基材,112/02/23,4,本公司董事會決議辦理私募海外或國內轉換公司債,
2748,雲品,112/02/23,5,本公司可轉換公司債雲品一(代號:27481) 近期達公布注 意交易資訊標準，故公告相關訊息以利投資人區別瞭解。,
2727,王品,112/02/23,2,公告本公司申請延長發行國內第一次無擔保轉換公司債募集 期間三個月，業經金管會准予備查,
2630,亞航,112/02/22,6,公告本公司董事長決議除息基準日暨 國內第二次無擔保轉換公司債停止轉換期間,
代號,簡稱,日期,序號,主旨,
8462,柏文,112/02/21,3,公告本公司董事會決議發行國內第三次無擔保轉換公司債,
2727,王品,112/02/20,1,公告本公司申請延長發行國內第一次無擔保轉換公司債募集 期間三個月,
8070,長華*,112/02/17,1,公告本公司國內第五次無擔保轉換公司債代收價款行庫及 存儲專戶行庫,
1589,永冠-KY,112/02/16,1,公告本公司發行中華民國境內第四次無擔保轉換公司債收足債款,
2228,劍麟,112/02/16,1,公告本公司國內第二次無擔保轉換公司債(簡稱：劍麟二， 代碼：22282)到期還本暨終止上櫃事宜,
3018,隆銘綠能,112/02/15,3,公告本公司更名全面換發有價證券(可轉換公司債)相關事宜,
3533,嘉澤,112/02/14,2,公告本公司發行國內第二次無擔保轉換公司債委託代收 及存儲行庫,
3711,日月光投控,112/02/10,2,代子公司環誠科技有限公司公告處分環旭電子股份有限公司 無擔保可轉換公司債券,
6269,台郡,112/02/09,11,公告本公司董事會決議擬辦理私募發行 海外或國內可轉換公司債,
6269,台郡,112/02/09,4,公告本公司董事會決議終止111年股東會通過之 「公開募集發行普通股，或發行新股參與海外存託憑證， 或私募方式發行普通股、或海外或國內可轉換公司債」案,
代號,簡稱,日期,序號,主旨,
